"id_camda"|"orden"|"tipo"|"inicio_ejecucion"|"duracion"|"tamano"
"71249"|"3"|"Automatica"|"2026-07-10 06:15:01.546487-03:00"|"1:12:19.453513"|"5967877"
"71249"|"1"|"Manual"|"2026-07-10 06:06:27-03:00"|"0:08:34.546487"|"5967877"
"71248"|"3"|"Automatica"|"2026-07-10 05:51:27.905303-03:00"|"0:14:59.094697"|"168191"
"71248"|"1"|"Manual"|"2026-07-10 05:46:20-03:00"|"0:05:07.905303"|"168191"
"71247"|"2"|"Automatica"|"2026-07-10 05:31:46.945282-03:00"|"0:14:33.054718"|"271733"
"71246"|"2"|"Automatica"|"2026-07-10 05:24:35.752543-03:00"|"0:07:11.192739"|"169614"
"71245"|"2"|"Automatica"|"2026-07-10 05:16:35.548260-03:00"|"0:08:00.204283"|"230368"
"71244"|"2"|"Automatica"|"2026-07-10 04:26:51.968500-03:00"|"0:49:43.579760"|"3286162"
"71243"|"2"|"Automatica"|"2026-07-10 04:12:30.917723-03:00"|"0:14:21.050777"|"286387"
"71242"|"2"|"Automatica"|"2026-07-10 04:01:59.788522-03:00"|"0:10:31.129201"|"250801"
"71241"|"3"|"Automatica"|"2026-07-10 03:51:44.576085-03:00"|"0:10:15.212437"|"279680"
"71241"|"1"|"Manual"|"2026-07-10 03:26:05-03:00"|"0:25:39.576085"|"279680"
"71240"|"2"|"Automatica"|"2026-07-10 03:12:20.888061-03:00"|"0:13:44.111939"|"451102"
"71239"|"2"|"Automatica"|"2026-07-10 02:58:30.395335-03:00"|"0:13:50.492726"|"708418"
"71238"|"2"|"Automatica"|"2026-07-10 02:40:35.557467-03:00"|"0:17:54.837868"|"937209"
"71237"|"2"|"Automatica"|"2026-07-10 01:59:07.382318-03:00"|"0:41:28.175149"|"2664909"
"71236"|"2"|"Automatica"|"2026-07-10 01:39:19.642862-03:00"|"0:19:47.739456"|"737427"
"71235"|"2"|"Automatica"|"2026-07-10 01:14:04.608537-03:00"|"0:25:15.034325"|"836879"
"71234"|"2"|"Automatica"|"2026-07-10 00:51:05.559992-03:00"|"0:22:59.048545"|"1104641"
"71233"|"3"|"Automatica"|"2026-07-10 00:29:34.852371-03:00"|"0:21:30.707621"|"1408266"
"71233"|"1"|"Manual"|"2026-07-10 00:22:50-03:00"|"0:06:44.852371"|"1408266"
"71232"|"3"|"Automatica"|"2026-07-10 00:02:45.340311-03:00"|"0:20:04.659689"|"2369718"
"71232"|"1"|"Manual"|"2026-07-09 23:53:30-03:00"|"0:09:15.340311"|"2369718"
"71231"|"3"|"Automatica"|"2026-07-09 23:16:34.266640-03:00"|"0:36:55.733360"|"3735660"
"71231"|"1"|"Manual"|"2026-07-09 23:06:05-03:00"|"0:10:29.266640"|"3735660"
"71230"|"3"|"Automatica"|"2026-07-09 22:08:15.915624-03:00"|"0:57:49.084376"|"610611"
"71230"|"1"|"Manual"|"2026-07-09 22:05:04-03:00"|"0:03:11.915624"|"610611"
"71229"|"2"|"Automatica"|"2026-07-09 21:54:40.322692-03:00"|"0:10:23.677308"|"520403"
"71228"|"3"|"Automatica"|"2026-07-09 21:46:26.075725-03:00"|"0:08:14.246967"|"341581"
"71228"|"1"|"Manual"|"2026-07-09 21:41:18-03:00"|"0:05:08.075725"|"341581"
"71227"|"2"|"Automatica"|"2026-07-09 21:31:40.318272-03:00"|"0:09:37.681728"|"380946"
"71226"|"2"|"Automatica"|"2026-07-09 21:22:50.703917-03:00"|"0:08:49.614355"|"354351"
"71225"|"2"|"Automatica"|"2026-07-09 21:11:35.187329-03:00"|"0:11:15.516588"|"463544"
"71224"|"2"|"Automatica"|"2026-07-09 20:54:49.486169-03:00"|"0:16:45.701160"|"468311"
"71223"|"3"|"Automatica"|"2026-07-09 20:37:39.748349-03:00"|"0:17:09.737820"|"645371"
"71223"|"1"|"Manual"|"2026-07-09 20:31:29-03:00"|"0:06:10.748349"|"645371"
"71222"|"2"|"Automatica"|"2026-07-09 19:53:50.251305-03:00"|"0:37:38.748695"|"2060680"
"71221"|"2"|"Automatica"|"2026-07-09 19:44:02.706697-03:00"|"0:09:47.544608"|"386304"
"71220"|"2"|"Automatica"|"2026-07-09 19:33:35.071846-03:00"|"0:10:27.634851"|"319212"
"71219"|"2"|"Automatica"|"2026-07-09 19:21:35.548038-03:00"|"0:11:59.523808"|"540149"
"71218"|"3"|"Automatica"|"2026-07-09 19:09:50.935505-03:00"|"0:11:44.612533"|"575764"
"71218"|"1"|"Manual"|"2026-07-09 19:04:36-03:00"|"0:05:14.935505"|"575764"
"71217"|"2"|"Automatica"|"2026-07-09 18:32:44.909745-03:00"|"0:31:51.090255"|"1521571"
"71216"|"2"|"Automatica"|"2026-07-09 18:19:29.309873-03:00"|"0:13:15.599872"|"560034"
"71215"|"2"|"Automatica"|"2026-07-09 17:52:29.661857-03:00"|"0:26:59.648016"|"1134032"
"71214"|"3"|"Automatica"|"2026-07-09 17:36:54.773863-03:00"|"0:15:34.887994"|"658679"
"71214"|"1"|"Manual"|"2026-07-09 15:16:55-03:00"|"2:19:59.773863"|"658679"
"71213"|"2"|"Automatica"|"2026-07-09 15:01:49.702310-03:00"|"0:15:05.297690"|"442653"
"71212"|"2"|"Automatica"|"2026-07-09 14:49:05.720535-03:00"|"0:12:43.981775"|"485313"
